ExperimentType,VariedParam,VariedValue,b,theta,delta,gamma,MeanAlpha_s0,MeanAlpha_s1,PercentDiff
deltaLoop,delta,1,9.24653,1.32066,1,1.70162,2.70453,2.82077,4.29796
deltaLoop,delta,0.25,17.3946,1.0983,0.25,2.16727,3.18069,3.17921,-0.0463642
deltaLoop,delta,0.5,10.5338,0.602976,0.5,2.1029,3.10086,3.17871,2.51062
deltaLoop,delta,0.75,12.8213,0.711313,0.75,1.93056,2.92999,3.04975,4.08733
deltaLoop,delta,0.25,12.6843,1.79918,0.25,1.55332,2.56034,2.5814,0.8225
deltaLoop,delta,0.5,9.24653,1.32066,0.5,1.70162,2.70052,2.76571,2.41399
deltaLoop,delta,1,15.22,1.08624,1,2.36436,3.3597,3.48369,3.69076
deltaLoop,delta,0.75,12.4897,0.745824,0.75,0.941904,1.93584,2.10745,8.86484
deltaLoop,delta,0.25,6.32122,1.92567,0.25,2.03219,3.02039,3.07265,1.7304
deltaLoop,delta,0.5,15.22,1.08624,0.5,2.36436,3.36337,3.39378,0.904245
deltaLoop,delta,1,14.1952,1.3398,1,0.784833,1.78644,1.93037,8.05652
deltaLoop,delta,0.75,10.5338,0.602976,0.75,2.1029,3.10035,3.23055,4.19969
deltaLoop,delta,0.25,18.9662,1.93593,0.25,1.12399,2.12982,2.13666,0.321289
deltaLoop,delta,0.5,14.1952,1.3398,0.5,0.784833,1.78707,1.86013,4.08837
deltaLoop,delta,1,8.08298,1.59747,1,0.666225,1.66878,1.8284,9.56501
deltaLoop,delta,0.75,9.24653,1.32066,0.75,1.70162,2.70744,2.80057,3.43975
deltaLoop,delta,0.25,9.62108,1.95115,0.25,2.10688,3.0985,3.13586,1.20555
deltaLoop,delta,0.5,8.08298,1.59747,0.5,0.666225,1.66443,1.8125,8.89616
deltaLoop,delta,0.25,5.20184,1.8241,0.25,1.47393,2.47289,2.56448,3.70361
deltaLoop,delta,1,17.3946,1.0983,1,2.16727,3.15851,3.29415,4.29459
deltaLoop,delta,0.75,15.22,1.08624,0.75,2.36436,3.35797,3.43372,2.25591
deltaLoop,delta,0.5,17.3946,1.0983,0.5,2.16727,3.17821,3.20021,0.692311
deltaLoop,delta,0.25,9.14127,1.95932,0.25,1.36117,2.35706,2.4026,1.93222
deltaLoop,delta,1,12.6843,1.79918,1,1.55332,2.55665,2.64304,3.37899
deltaLoop,delta,0.75,14.1952,1.3398,0.75,0.784833,1.78745,1.89698,6.12804
deltaLoop,delta,0.5,12.6843,1.79918,0.5,1.55332,2.56285,2.59494,1.25221
deltaLoop,delta,0.75,8.08298,1.59747,0.75,0.666225,1.66969,1.82771,9.46411
deltaLoop,delta,1,6.32122,1.92567,1,2.03219,3.02711,3.14346,3.84348
deltaLoop,delta,0.5,6.32122,1.92567,0.5,2.03219,3.04067,3.09852,1.90267
deltaLoop,delta,0.75,17.3946,1.0983,0.75,2.16727,3.17075,3.24806,2.43842
deltaLoop,delta,0.5,18.9662,1.93593,0.5,1.12399,2.1183,2.15567,1.76441
deltaLoop,delta,1,18.9662,1.93593,1,1.12399,2.12443,2.21103,4.07637
deltaLoop,delta,0.75,12.6843,1.79918,0.75,1.55332,2.54995,2.62962,3.1241
deltaLoop,delta,0.5,9.62108,1.95115,0.5,2.10688,3.10638,3.14526,1.25175
deltaLoop,delta,1,9.62108,1.95115,1,2.10688,3.10669,3.19307,2.78047
deltaLoop,delta,0.75,6.32122,1.92567,0.75,2.03219,3.03744,3.12787,2.97713
deltaLoop,delta,0.5,5.20184,1.8241,0.5,1.47393,2.47729,2.60625,5.20558
deltaLoop,delta,1,5.20184,1.8241,1,1.47393,2.479,2.63302,6.21284
deltaLoop,delta,0.5,9.14127,1.95932,0.5,1.36117,2.36374,2.43416,2.97885
deltaLoop,delta,0.75,18.9662,1.93593,0.75,1.12399,2.1284,2.1817,2.50422
deltaLoop,delta,1,9.14127,1.95932,1,1.36117,2.3692,2.47129,4.30879
deltaLoop,delta,0.75,9.62108,1.95115,0.75,2.10688,3.10661,3.16965,2.02912
deltaLoop,delta,0.75,5.20184,1.8241,0.75,1.47393,2.47037,2.62065,6.0835
deltaLoop,delta,0.75,9.14127,1.95932,0.75,1.36117,2.37046,2.45649,3.62922
