s,MeanAlpha
0.1,2.00362
0.05,2.00609
0,2.01227
0.15,1.9994
0.2,2.00831
0.25,2.01963
0.3,2.0168
0.35,2.02586
0.4,2.03244
0.45,2.03755
0.5,2.0529
0.55,2.07936
0.6,2.11008
0.65,2.14078
0.7,2.18283
0.75,2.23762
0.8,2.28363
0.85,2.35967
0.9,2.43963
0.95,2.53574
1,2.66189
