s,MeanAlpha
0.15,1.99662
0.05,2.00755
0,2.00569
0.2,2.00211
0.1,1.99358
0.25,2.01107
0.3,2.00551
0.35,2.01045
0.4,1.99859
0.45,2.00986
0.5,2.00807
0.55,2.02468
0.6,2.01639
0.65,2.02638
0.7,2.02626
0.75,2.04354
0.8,2.0627
0.85,2.07787
0.9,2.12092
0.95,2.15063
1,2.18339
