s,MeanAlpha
0,1.99254
0.1,1.99684
0.05,2.00105
0.15,2.01051
0.2,2.01126
0.25,2.01427
0.3,2.02909
0.35,2.03787
0.4,2.05752
0.45,2.08298
0.5,2.11014
0.55,2.11787
0.6,2.1272
0.65,2.16394
0.7,2.18566
0.75,2.2276
0.8,2.27267
0.85,2.33101
0.9,2.42119
0.95,2.52391
1,2.95168
