s,MeanAlpha
0,1.9969
0.05,2.00296
0.15,2.00885
0.1,1.99855
0.2,2.011
0.25,2.01264
0.3,2.01822
0.35,2.02058
0.4,2.02683
0.45,2.06208
0.5,2.10703
0.55,2.17496
0.75,2.13848
0.7,2.16726
0.6,2.22982
0.65,2.22864
0.8,2.14561
0.85,2.22503
0.9,2.29662
0.95,2.33704
1,2.89888
