s,MeanAlpha
0.1,1.99979
0.05,1.99717
0,1.99929
0.15,2.00578
0.2,2.02122
0.25,2.02417
0.3,2.03529
0.35,2.0415
0.4,2.11022
0.45,2.08302
0.55,2.10193
0.5,2.10731
0.6,2.13066
0.65,2.15862
0.7,2.24275
0.75,2.25327
0.8,2.31406
0.85,2.37271
0.9,2.4914
0.95,2.64591
1,2.99423
