s,MeanAlpha
0,1.99654
0.2,2.00407
0.05,2.00645
0.15,1.9891
0.1,2.01064
0.25,2.01216
0.3,2.0033
0.35,2.01338
0.4,1.99954
0.45,2.00235
0.5,2.00242
0.55,2.00748
0.6,2.01367
0.65,2.0493
0.7,2.08215
0.75,2.123
0.8,2.16617
0.85,2.22399
0.9,2.26488
0.95,2.29391
1,2.37047
