s,MeanAlpha
0,2.00429
0.05,2.00428
0.1,2.0002
0.15,2.00524
0.2,2.01776
0.25,2.00535
0.3,2.01408
0.35,2.00941
0.4,2.12637
0.45,2.46973
0.65,2.20218
0.6,2.21999
0.55,2.2879
0.7,2.24361
0.5,2.39191
0.75,2.29712
0.8,2.33505
0.85,2.37835
0.9,2.44922
0.95,2.57528
1,2.83399
