s,MeanAlpha
0.2,2.00898
0,1.99692
0.15,1.99196
0.05,2.00856
0.1,2.00693
0.25,2.00449
0.3,2.00829
0.35,2.0128
0.4,2.00925
0.45,2.00522
0.5,2.01437
0.55,2.21783
0.6,2.38436
0.9,2.28895
0.65,2.38864
0.8,2.31756
0.7,2.42668
0.85,2.23177
0.95,2.17427
0.75,2.39981
1,2.66409
