s,MeanAlpha
0,2.00144
0.1,2.00185
0.05,1.99636
0.15,2.00309
0.2,2.01248
0.3,2.04414
0.25,2.05686
0.35,2.05411
0.4,2.07035
0.45,2.08173
0.5,2.18664
0.55,2.41447
0.6,2.36656
0.65,2.75419
0.7,2.70403
0.75,2.83758
0.85,2.9632
0.8,2.86973
0.9,2.65736
0.95,2.68237
1,2.76198
