s,MeanAlpha,replicate
1,2.76873,6
1,2.78184,8
1,2.96739,0
1,3.00384,2
1,2.97731,9
1,2.94837,1
1,3.02196,4
1,3.08952,7
1,3.10227,5
1,3.1344,3
