s,MeanAlpha,replicate
0.1,2.0091,0
0,1.99737,0
0.2,2.01272,0
0.3,2.01747,0
0,2.00455,1
0.4,2.03977,0
0.1,2.0047,1
0.5,2.06611,0
0.6,2.0928,0
0.2,2.01196,1
0.7,2.11847,0
0.8,2.18895,0
0.3,2.02204,1
0.4,2.03845,1
0.9,2.28632,0
0,2.0113,2
0.5,2.06324,1
0.1,2.00601,2
0.6,2.09671,1
0.2,2.00769,2
1,2.49256,0
0.7,2.11872,1
0.3,2.01975,2
0.8,2.17531,1
0.4,2.0403,2
0.9,2.27847,1
0.5,2.0598,2
0,1.99721,3
0.1,2.00341,3
0.6,2.08808,2
1,2.483,1
0.2,2.00947,3
0.7,2.1217,2
0.3,2.02663,3
0.8,2.17426,2
0.4,2.04211,3
0.9,2.28096,2
0.5,2.06186,3
0,1.99502,4
0.1,2.00332,4
0.6,2.09712,3
1,2.47961,2
0.2,2.00859,4
0.7,2.12204,3
0.3,2.02658,4
0.8,2.17658,3
0.4,2.03675,4
0.9,2.27476,3
0.5,2.05861,4
0,1.99485,5
0.1,2.00751,5
0.6,2.09589,4
1,2.4841,3
0.2,2.00868,5
0.7,2.12563,4
0.3,2.02508,5
0.8,2.18677,4
0.4,2.0398,5
0.9,2.2836,4
0.5,2.0583,5
0,1.98507,6
0.1,2.0087,6
0.6,2.09147,5
1,2.48482,4
0.2,2.01269,6
0.7,2.11965,5
0.3,2.02427,6
0.8,2.18538,5
0.4,2.04332,6
0.9,2.28204,5
0,2.00487,7
0.5,2.06156,6
0.1,2.00651,7
0.6,2.10093,6
1,2.47789,5
0.2,2.01269,7
0.7,2.12527,6
0.3,2.02125,7
0.8,2.18252,6
0.4,2.03578,7
0.9,2.28296,6
0.5,2.06192,7
0,2.0086,8
0.1,2.00782,8
0.6,2.09459,7
1,2.48886,6
0.2,2.01152,8
0.7,2.11674,7
0.3,2.02,8
0.8,2.18101,7
0.4,2.03405,8
0.9,2.28951,7
0.5,2.06064,8
0,2.00033,9
0.1,2.00123,9
0.6,2.09367,8
1,2.48677,7
0.2,2.0184,9
0.7,2.12845,8
0.3,2.02332,9
0.8,2.18757,8
0.4,2.03221,9
0.9,2.27345,8
0.5,2.05767,9
0.6,2.10018,9
1,2.48464,8
0.7,2.12222,9
0.8,2.17806,9
0.9,2.28105,9
1,2.48371,9
