s,MeanAlpha,replicate
0,2.00253,0
0.1,2.00666,0
0.2,2.00951,0
0.3,2.03141,0
0,1.98073,1
0.1,1.99823,1
0.4,2.06265,0
0.5,2.10659,0
0.2,2.01418,1
0.6,2.12154,0
0.7,2.18151,0
0.3,2.02738,1
0.8,2.28149,0
0.4,2.06304,1
0.9,2.41133,0
0,2.01144,2
0.5,2.10765,1
0.1,2.00183,2
0.2,2.01258,2
0.6,2.12058,1
0.7,2.18583,1
1,3.00235,0
0.3,2.03062,2
0.8,2.28455,1
0.4,2.06026,2
0,2.00349,3
0.9,2.42242,1
0.5,2.1009,2
0.1,1.99949,3
0.6,2.12652,2
0.2,2.01527,3
1,2.81614,1
0.7,2.19386,2
0.3,2.02794,3
0.8,2.28342,2
0.4,2.06157,3
0.9,2.42683,2
0.5,2.09903,3
0,2.00516,4
0.1,2.00948,4
0.6,2.11908,3
0.2,2.01327,4
1,3.04134,2
0.7,2.19213,3
0.3,2.02754,4
0.8,2.28621,3
0.4,2.05687,4
0.9,2.42273,3
0,2.01336,5
0.5,2.1039,4
0.1,2.00806,5
0.6,2.12755,4
0.2,2.01423,5
1,3.12359,3
0.7,2.18729,4
0.3,2.02955,5
0.8,2.28202,4
0.4,2.06585,5
0.9,2.42314,4
0,2.00342,6
0.5,2.10039,5
0.1,2.00261,6
0.6,2.12464,5
0.2,2.01312,6
1,2.8717,4
0.7,2.18465,5
0.3,2.0279,6
0.8,2.28247,5
0.4,2.06736,6
0.9,2.43057,5
0,2.00286,7
0.5,2.10872,6
0.1,2.01115,7
0.6,2.11763,6
0.2,2.01236,7
1,3.03169,5
0.7,2.18485,6
0.3,2.02929,7
0.8,2.27125,6
0.4,2.06227,7
0.9,2.42352,6
0,2.01816,8
0.5,2.10682,7
0.1,2.00313,8
0.6,2.12131,7
0.2,2.0091,8
1,2.87038,6
0.7,2.18723,7
0.3,2.02748,8
0.8,2.27591,7
0.4,2.06177,8
0.9,2.4206,7
0,1.99932,9
0.5,2.10156,8
0.1,2.00276,9
0.6,2.12558,8
0.2,2.01299,9
1,2.86713,7
0.7,2.18777,8
0.3,2.02763,9
0.8,2.27436,8
0.4,2.06217,9
0.9,2.4262,8
0.5,2.10616,9
0.6,2.12365,9
1,2.85491,8
0.7,2.18536,9
0.8,2.27694,9
0.9,2.42717,9
1,3.018,9
