s,MeanAlpha,replicate
0,1.99833,0
0.1,2.0014,0
0.2,2.01818,0
0.3,2.03097,0
0,1.99807,1
0.4,2.05643,0
0.1,2.00325,1
0.5,2.09476,0
0.2,2.0084,1
0.6,2.13603,0
0.3,2.02609,1
0.7,2.17609,0
0.4,2.0438,1
0.8,2.29458,0
0.5,2.09294,1
0,1.99681,2
0.1,2.00059,2
0.6,2.14521,1
0.2,2.01191,2
0.9,2.82275,0
0.7,2.17687,1
0.3,2.0278,2
0.4,2.05372,2
0.8,2.29223,1
1,3.30301,0
0.5,2.09409,2
0,1.98804,3
0.1,2.00595,3
0.6,2.14122,2
0.9,2.82439,1
0.7,2.17195,2
0.2,2.00838,3
0.3,2.02488,3
1,3.30144,1
0.8,2.29486,2
0.4,2.04716,3
0,1.99132,4
0.1,2.00232,4
0.5,2.09323,3
0.6,2.13648,3
0.9,2.82987,2
0.2,2.0142,4
0.7,2.17896,3
0.3,2.02754,4
0.4,2.051,4
0.8,2.28784,3
1,3.30029,2
0,1.99193,5
0.1,2.00086,5
0.5,2.08581,4
0.6,2.14214,4
0.2,2.016,5
0.9,2.82116,3
0.7,2.17739,4
0.3,2.02855,5
0.4,2.05868,5
0.8,2.29719,4
1,3.27951,3
0,1.99686,6
0.1,2.00307,6
0.5,2.08905,5
0.6,2.13638,5
0.9,2.82224,4
0.2,2.01903,6
0.7,2.17036,5
0.3,2.02816,6
0.4,2.05101,6
0.8,2.28946,5
1,3.28343,4
0,2.00191,7
0.1,2.00545,7
0.5,2.09423,6
0.6,2.13876,6
0.2,2.0134,7
0.9,2.82179,5
0.7,2.17172,6
0.3,2.02308,7
0.4,2.04636,7
0.8,2.2918,6
1,3.28742,5
0,2.00418,8
0.5,2.09244,7
0.1,2.00462,8
0.6,2.1443,7
0.2,2.01577,8
0.9,2.83075,6
0.7,2.17494,7
0.3,2.02612,8
0.4,2.04728,8
0.8,2.29258,7
1,3.30501,6
0,2.00885,9
0.1,2.00425,9
0.5,2.09468,8
0.6,2.13561,8
0.9,2.81912,7
0.2,2.01018,9
0.7,2.18003,8
0.3,2.02474,9
0.4,2.05033,9
0.8,2.29094,8
1,3.29227,7
0.5,2.09292,9
0.6,2.13544,9
0.9,2.82546,8
0.7,2.17075,9
0.8,2.28785,9
1,3.28604,8
0.9,2.82843,9
1,3.28747,9
