s,MeanAlpha,replicate
0.1,2.00817,0
0,2.01345,0
0.2,2.01283,0
0.3,2.01739,0
0.4,2.04348,0
0,1.99107,1
0.1,2.00308,1
0.5,2.05592,0
0.2,1.99876,1
0.6,2.09387,0
0.7,2.14749,0
0.3,2.02032,1
0.4,2.03036,1
0.8,2.22876,0
0.5,2.05618,1
0.9,2.35441,0
0,1.99298,2
0.1,2.00317,2
0.6,2.09951,1
0.2,2.00425,2
1,2.53863,0
0.7,2.14946,1
0.3,2.02154,2
0.4,2.03751,2
0.8,2.22851,1
0.5,2.06011,2
0,2.01248,3
0.1,2.00187,3
0.6,2.09513,2
0.9,2.34442,1
0.2,2.0119,3
1,2.53861,1
0.7,2.14303,2
0.3,2.01915,3
0.4,2.038,3
0.8,2.23695,2
0.5,2.05027,3
0,2.00031,4
0.9,2.34842,2
0.6,2.08577,3
0.1,2.00442,4
1,2.54459,2
0.2,2.00586,4
0.7,2.1376,3
0.3,2.01813,4
0.8,2.22098,3
0.4,2.041,4
0.5,2.05977,4
0,2.00798,5
0.1,2.00502,5
0.9,2.35026,3
0.6,2.09884,4
0.2,2.01496,5
1,2.53644,3
0.7,2.15188,4
0.3,2.01883,5
0.8,2.23509,4
0.4,2.02763,5
0.5,2.05214,5
0.9,2.35062,4
0,2.014,6
0.1,2.00955,6
0.6,2.09474,5
0.2,2.01613,6
1,2.53301,4
0.7,2.15015,5
0.3,2.02369,6
0.4,2.02795,6
0.8,2.22221,5
0.5,2.05721,6
0.9,2.34831,5
0,2.00405,7
0.1,2.00778,7
0.6,2.09162,6
0.2,2.01846,7
1,2.54192,5
0.7,2.14483,6
0.3,2.026,7
0.4,2.02868,7
0.8,2.23206,6
0.5,2.0569,7
0.6,2.09329,7
0,2.00564,8
0.9,2.34701,6
0.1,2,8
0.2,2.00468,8
1,2.54248,6
0.7,2.13894,7
0.3,2.01588,8
0.4,2.03725,8
0.8,2.22661,7
0.5,2.05667,8
0.6,2.08977,8
0,2.01268,9
0.1,2.00933,9
0.9,2.35103,7
0.2,2.00744,9
1,2.539,7
0.7,2.14561,8
0.3,2.01895,9
0.4,2.03441,9
0.8,2.23029,8
0.5,2.05888,9
0.9,2.34526,8
0.6,2.09314,9
1,2.5326,8
0.7,2.14888,9
0.8,2.23416,9
0.9,2.34598,9
1,2.53269,9
