s,MeanAlpha,replicate
0,2.02133,0
0.1,2.00294,0
0.2,2.00177,0
0.3,2.0113,0
0.4,2.00143,0
0.5,2.01064,0
0.6,2.00765,0
0,1.98907,1
0.1,2.0038,1
0.2,1.99691,1
0.7,2.03816,0
0.3,2.00792,1
0.4,2.00965,1
0.8,2.09356,0
0.9,2.15322,0
0.5,2.00179,1
0,2.00328,2
0.1,2.00564,2
0.6,2.0098,1
0.2,1.99899,2
0.7,2.04571,1
0.3,2.01436,2
1,2.24475,0
0.4,2.01484,2
0.8,2.0895,1
0.5,2.00322,2
0.9,2.17004,1
0.6,2.01295,2
0,1.99407,3
0.1,2.00911,3
1,2.25467,1
0.2,2.0105,3
0.7,2.04198,2
0.3,2.0135,3
0.4,2.00656,3
0.8,2.09106,2
0.5,2.0103,3
0.6,2.01373,3
0.9,2.16757,2
0,2.00404,4
0.1,2.00594,4
1,2.25525,2
0.2,2,4
0.7,2.03804,3
0.3,2.01067,4
0.4,2.00337,4
0.8,2.09794,3
0.5,2.00973,4
0.9,2.17333,3
0,2.00272,5
0.1,2.01014,5
0.6,2.01366,4
0.2,1.99267,5
1,2.25913,3
0.7,2.04546,4
0.3,2.01668,5
0.8,2.09503,4
0.4,2.01293,5
0.5,2.00359,5
0.9,2.15228,4
0.6,2.01809,5
0,1.99929,6
0.1,2.00225,6
0.2,1.9974,6
1,2.24516,4
0.7,2.0347,5
0.3,2.0014,6
0.4,2.00777,6
0.8,2.09531,5
0.5,2.01124,6
0.9,2.15063,5
0.6,2.01528,6
0,1.99745,7
0.1,1.99984,7
0.2,2.0067,7
1,2.25207,5
0.7,2.04839,6
0.3,2.01181,7
0.8,2.08695,6
0.4,2.00672,7
0.5,2.01308,7
0.9,2.15976,6
0.6,2.01511,7
0,2.01702,8
0.1,1.99449,8
1,2.25774,6
0.2,2.00742,8
0.7,2.03711,7
0.3,2.00627,8
0.4,2.00021,8
0.8,2.08545,7
0.5,1.99987,8
0.9,2.14662,7
0.6,2.01646,8
0,1.99543,9
0.1,2.00904,9
1,2.25536,7
0.2,2.00064,9
0.7,2.0362,8
0.3,1.99862,9
0.8,2.09423,8
0.4,2.00414,9
0.5,2.00115,9
0.9,2.1669,8
0.6,2.011,9
1,2.2594,8
0.7,2.04327,9
0.8,2.08204,9
0.9,2.16536,9
1,2.25724,9
