s,MeanAlpha,replicate
0.1,2.00687,0
0,2.00259,0
0.2,2.01469,0
0.3,2.02131,0
0.4,2.01931,0
0,1.99586,1
0.1,1.99974,1
0.5,2.06565,0
0.2,2.00235,1
0.6,2.13824,0
0.3,2.01093,1
0.7,2.23243,0
0.4,2.02583,1
0.8,2.25053,0
0.9,2.2874,0
0.5,2.05916,1
0,2.01146,2
0.1,2.00461,2
0.2,2.01296,2
0.6,2.12808,1
0.3,2.03128,2
1,2.7638,0
0.7,2.23899,1
0.4,2.01622,2
0.8,2.25494,1
0.9,2.29223,1
0.5,2.0583,2
0,2.00862,3
0.1,2.01149,3
0.6,2.13301,2
0.2,2.0128,3
0.3,2.01616,3
1,2.75689,1
0.7,2.23262,2
0.4,2.02875,3
0.8,2.25344,2
0.9,2.28854,2
0,2.00423,4
0.5,2.06147,3
0.1,2.006,4
1,2.75366,2
0.6,2.12776,3
0.2,2.00748,4
0.3,2.01022,4
0.7,2.2255,3
0.4,2.02393,4
0.8,2.25091,3
0.9,2.28161,3
0,2.00401,5
0.5,2.06127,4
0.1,2.00614,5
0.2,2.00639,5
1,2.75909,3
0.6,2.13363,4
0.3,2.01536,5
0.7,2.2248,4
0.4,2.01734,5
0.8,2.25644,4
0.9,2.28727,4
0.5,2.05952,5
0,2.00085,6
0.1,2.00406,6
0.2,2.00718,6
0.6,2.1332,5
1,2.74138,4
0.3,2.01492,6
0.4,2.03044,6
0.7,2.23,5
0.8,2.26015,5
0.9,2.29266,5
0.5,2.063,6
0,1.99493,7
0.1,2.00305,7
0.2,1.99948,7
0.6,2.12422,6
0.3,2.02239,7
1,2.75632,5
0.7,2.22921,6
0.4,2.02036,7
0.8,2.25909,6
0.9,2.28367,6
0.5,2.07065,7
0,2.00097,8
0.1,2.00619,8
0.2,2.01442,8
0.6,2.14173,7
0.3,2.01979,8
1,2.7583,6
0.4,2.02242,8
0.7,2.23614,7
0.8,2.25126,7
0.9,2.28661,7
0.5,2.06049,8
0,1.99636,9
0.1,2.00675,9
0.2,2.00897,9
0.6,2.13507,8
0.3,2.02059,9
1,2.74616,7
0.4,2.02148,9
0.7,2.22819,8
0.8,2.25854,8
0.9,2.28364,8
0.5,2.06802,9
0.6,2.13421,9
1,2.76111,8
0.7,2.23003,9
0.8,2.25464,9
0.9,2.28583,9
1,2.7448,9
