s,MeanAlpha,replicate
0,2.01409,0
0.1,2.00895,0
0.2,2.02505,0
0,2.01039,1
0.3,2.04445,0
0.4,2.07137,0
0.1,2.01407,1
0.5,2.11208,0
0.6,2.1602,0
0.2,2.01714,1
0.7,2.22201,0
0.3,2.03484,1
0.8,2.32667,0
0.4,2.06997,1
0.9,2.49789,0
0,2.00632,2
0.5,2.10317,1
0.1,2.00682,2
0.6,2.15086,1
0.2,2.02131,2
1,2.78601,0
0.7,2.22382,1
0.3,2.04076,2
0.8,2.319,1
0.4,2.0678,2
0.9,2.49481,1
0,2.01259,3
0.5,2.10611,2
0.1,2.00797,3
0.6,2.1615,2
1,2.78183,1
0.2,2.0214,3
0.7,2.22094,2
0.3,2.04014,3
0.8,2.3247,2
0.4,2.06816,3
0,2.00038,4
0.5,2.10945,3
0.9,2.4992,2
0.1,2.00665,4
0.6,2.1547,3
1,2.8213,2
0.2,2.01689,4
0.7,2.22148,3
0.3,2.0398,4
0.4,2.06981,4
0.8,2.32727,3
0.5,2.10401,4
0.9,2.49771,3
0,1.99038,5
0.1,2.00644,5
0.6,2.16791,4
1,2.77698,3
0.2,2.01806,5
0.7,2.21265,4
0.3,2.04543,5
0.8,2.27111,4
0.4,2.05964,5
0.9,2.49779,4
0.5,2.10719,5
0,2.005,6
0.1,2.01293,6
0.6,2.15308,5
1,2.77358,4
0.2,2.0244,6
0.7,2.21955,5
0.3,2.03755,6
0.4,2.06458,6
0.8,2.32874,5
0.5,2.10522,6
0.9,2.49805,5
0,1.99676,7
0.1,2.01197,7
0.6,2.15563,6
1,2.79296,5
0.2,2.01891,7
0.7,2.21801,6
0.3,2.04577,7
0.4,2.07105,7
0.8,2.32666,6
0.5,2.10843,7
0,1.99646,8
0.9,2.49598,6
0.1,2.00278,8
0.6,2.15517,7
1,2.786,6
0.2,2.01515,8
0.7,2.21755,7
0.3,2.04075,8
0.4,2.06838,8
0.8,2.33287,7
0.9,2.49843,7
0.5,2.1019,8
0,1.99849,9
0.1,2.00496,9
0.6,2.15417,8
1,2.83047,7
0.2,2.02889,9
0.7,2.2176,8
0.3,2.03707,9
0.8,2.3306,8
0.4,2.07543,9
0.5,2.10372,9
0.9,2.49801,8
0.6,2.14945,9
1,2.7911,8
0.7,2.22301,9
0.8,2.32434,9
0.9,2.48851,9
1,2.81183,9
