s,MeanAlpha,replicate
0.1,2.00445,0
0,2.01036,0
0.2,2.00181,0
0.3,2.003,0
0.4,2.00669,0
0.5,2.02221,0
0,1.99885,1
0.6,2.01846,0
0.1,2.01049,1
0.7,2.03635,0
0.2,2.02006,1
0.8,2.05948,0
0.3,2.01824,1
0.9,2.09492,0
0.4,2.01372,1
0.5,2.02127,1
0,2.01033,2
0.1,2.00415,2
0.6,2.0296,1
0.2,2.02279,2
0.7,2.03258,1
1,2.14203,0
0.3,2.01785,2
0.8,2.03991,1
0.4,2.00766,2
0.9,2.09365,1
0.5,2.0157,2
0,1.99529,3
0.6,2.02331,2
0.1,2.00148,3
1,2.1398,1
0.2,2.00119,3
0.7,2.04116,2
0.3,2.00496,3
0.8,2.05372,2
0.4,2.01436,3
0.9,2.0881,2
0.5,2.02511,3
0,2.00048,4
0.6,2.02242,3
0.1,2.0077,4
1,2.13875,2
0.7,2.03511,3
0.2,1.99982,4
0.3,2.01121,4
0.8,2.0585,3
0.4,2.01577,4
0.9,2.07857,3
0.5,2.02528,4
0,1.9991,5
1,2.13776,3
0.6,2.00802,4
0.1,2.01402,5
0.2,2.00976,5
0.7,2.03553,4
0.3,2.01097,5
0.8,2.05409,4
0.9,2.09203,4
0.4,2.02637,5
0.5,2.01131,5
0,2.00531,6
0.6,2.02822,5
1,2.14283,4
0.1,2.00234,6
0.2,2.00414,6
0.7,2.04281,5
0.3,2.01047,6
0.8,2.05279,5
0.4,2.00459,6
0.9,2.08735,5
0.5,2.02242,6
0,2.00682,7
1,2.13482,5
0.6,2.01182,6
0.1,1.99365,7
0.7,2.03731,6
0.2,1.99948,7
0.3,2.01089,7
0.8,2.05746,6
0.9,2.08762,6
0.4,2.00338,7
0.5,2.01478,7
0,1.98881,8
0.6,2.02572,7
1,2.14714,6
0.1,1.99049,8
0.7,2.04003,7
0.2,1.99452,8
0.3,2.00702,8
0.8,2.05934,7
0.9,2.08636,7
0.4,2.02512,8
0.5,2.01983,8
0,1.99615,9
0.6,2.02137,8
0.1,1.99389,9
1,2.1408,7
0.2,1.9984,9
0.7,2.02572,8
0.3,2.01117,9
0.8,2.05693,8
0.9,2.094,8
0.4,2.01977,9
0.5,2.0199,9
0.6,2.02428,9
1,2.14554,8
0.7,2.03513,9
0.8,2.05465,9
0.9,2.09451,9
1,2.15255,9
